onset	duration	staging
0	0	1
30	0	1
60	0	1
90	0	1
120	0	1
150	0	1
180	0	1
210	0	1
240	0	1
270	0	1
300	0	1
330	0	1
360	0	1
390	0	1
420	0	1
450	0	1
480	0	1
510	0	1
540	0	1
570	0	1
600	0	1
630	0	1
660	0	1
690	0	1
720	0	1
750	0	1
780	0	1
810	0	1
840	0	1
870	0	1
900	0	1
930	0	1
960	0	1
990	0	1
1020	0	1
1050	0	1
1080	0	1
1110	0	1
1140	0	1
1170	0	1
1200	0	1
1230	0	1
1260	0	1
1290	0	1
1320	0	1
1350	0	1
1380	0	1
1410	0	1
1440	0	1
1470	0	1
1500	0	1
1530	0	1
1560	0	1
1590	0	1
1620	0	1
1650	0	1
1680	0	1
1710	0	1
1740	0	1
1770	0	1
1800	0	1
1830	0	1
1860	0	1
1890	0	1
1920	0	1
1950	0	1
1980	0	1
2010	0	1
2040	0	1
2070	0	1
2100	0	1
2130	0	1
2160	0	1
2190	0	1
2220	0	1
2250	0	1
2280	0	1
2310	0	1
2340	0	1
2370	0	1
2400	0	1
2430	0	1
2460	0	1
2490	0	1
2520	0	1
2550	0	1
2580	0	1
2610	0	1
2640	0	1
2670	0	1
2700	0	1
2730	0	1
2760	0	1
2790	0	1
2820	0	1
2850	0	1
2880	0	1
2910	0	1
2940	0	1
2970	0	1
3000	0	1
3030	0	1
3060	0	1
3090	0	1
3120	0	1
3150	0	1
3180	0	1
3210	0	1
3240	0	1
3270	0	1
3300	0	1
3330	0	1
3360	0	1
3390	0	1
3420	0	1
3450	0	1
3480	0	1
3510	0	1
3540	0	1
3570	0	1
3600	0	1
3630	0	1
3660	0	1
3690	0	1
3720	0	1
3750	0	1
3780	0	1
3810	0	1
3840	0	1
3870	0	1
3900	0	1
3930	0	1
3960	0	1
3990	0	1
4020	0	1
4050	0	1
4080	0	1
4110	0	1
4140	0	1
4170	0	1
4200	0	1
4230	0	1
4260	0	1
4290	0	1
4320	0	1
4350	0	1
4380	0	1
4410	0	3
4440	0	3
4470	0	3
4500	0	3
4530	0	4
4560	0	4
4590	0	4
4620	0	4
4650	0	4
4680	0	4
4710	0	4
4740	0	4
4770	0	4
4800	0	4
4830	0	4
4860	0	4
4890	0	4
4920	0	4
4950	0	4
4980	0	4
5010	0	4
5040	0	4
5070	0	4
5100	0	4
5130	0	4
5160	0	4
5190	0	4
5220	0	4
5250	0	4
5280	0	4
5310	0	4
5340	0	4
5370	0	4
5400	0	4
5430	0	4
5460	0	4
5490	0	4
5520	0	4
5550	0	4
5580	0	4
5610	0	5
5640	0	5
5670	0	5
5700	0	5
5730	0	5
5760	0	5
5790	0	5
5820	0	5
5850	0	5
5880	0	5
5910	0	5
5940	0	5
5970	0	5
6000	0	5
6030	0	5
6060	0	5
6090	0	5
6120	0	5
6150	0	5
6180	0	5
6210	0	5
6240	0	5
6270	0	5
6300	0	5
6330	0	5
6360	0	5
6390	0	5
6420	0	5
6450	0	5
6480	0	5
6510	0	5
6540	0	5
6570	0	5
6600	0	5
6630	0	4
6660	0	4
6690	0	4
6720	0	4
6750	0	4
6780	0	4
6810	0	4
6840	0	4
6870	0	4
6900	0	4
6930	0	4
6960	0	4
6990	0	4
7020	0	4
7050	0	4
7080	0	4
7110	0	5
7140	0	5
7170	0	5
7200	0	5
7230	0	5
7260	0	5
7290	0	5
7320	0	5
7350	0	5
7380	0	5
7410	0	5
7440	0	5
7470	0	4
7500	0	4
7530	0	4
7560	0	4
7590	0	4
7620	0	4
7650	0	4
7680	0	4
7710	0	4
7740	0	4
7770	0	4
7800	0	5
7830	0	5
7860	0	5
7890	0	5
7920	0	5
7950	0	5
7980	0	5
8010	0	5
8040	0	5
8070	0	5
8100	0	5
8130	0	5
8160	0	5
8190	0	5
8220	0	5
8250	0	4
8280	0	3
8310	0	4
8340	0	4
8370	0	4
8400	0	4
8430	0	4
8460	0	4
8490	0	4
8520	0	4
8550	0	4
8580	0	4
8610	0	4
8640	0	4
8670	0	4
8700	0	4
8730	0	4
8760	0	4
8790	0	4
8820	0	3
8850	0	4
8880	0	4
8910	0	4
8940	0	4
8970	0	4
9000	0	4
9030	0	4
9060	0	3
9090	0	4
9120	0	4
9150	0	4
9180	0	4
9210	0	4
9240	0	4
9270	0	4
9300	0	4
9330	0	1
9360	0	1
9390	0	4
9420	0	4
9450	0	4
9480	0	4
9510	0	4
9540	0	4
9570	0	4
9600	0	4
9630	0	4
9660	0	4
9690	0	4
9720	0	4
9750	0	4
9780	0	4
9810	0	4
9840	0	4
9870	0	4
9900	0	4
9930	0	4
9960	0	4
9990	0	4
10020	0	4
10050	0	4
10080	0	4
10110	0	4
10140	0	4
10170	0	4
10200	0	4
10230	0	4
10260	0	4
10290	0	4
10320	0	4
10350	0	4
10380	0	4
10410	0	4
10440	0	4
10470	0	1
10500	0	1
10530	0	4
10560	0	3
10590	0	4
10620	0	4
10650	0	4
10680	0	4
10710	0	4
10740	0	4
10770	0	4
10800	0	4
10830	0	4
10860	0	4
10890	0	4
10920	0	4
10950	0	4
10980	0	4
11010	0	4
11040	0	1
11070	0	4
11100	0	4
11130	0	4
11160	0	4
11190	0	4
11220	0	4
11250	0	4
11280	0	4
11310	0	4
11340	0	4
11370	0	4
11400	0	4
11430	0	4
11460	0	4
11490	0	4
11520	0	4
11550	0	4
11580	0	4
11610	0	4
11640	0	4
11670	0	4
11700	0	4
11730	0	4
11760	0	4
11790	0	4
11820	0	5
11850	0	5
11880	0	4
11910	0	4
11940	0	4
11970	0	4
12000	0	4
12030	0	4
12060	0	4
12090	0	4
12120	0	4
12150	0	4
12180	0	4
12210	0	5
12240	0	5
12270	0	5
12300	0	1
12330	0	4
12360	0	4
12390	0	4
12420	0	4
12450	0	4
12480	0	4
12510	0	4
12540	0	4
12570	0	4
12600	0	4
12630	0	4
12660	0	4
12690	0	4
12720	0	4
12750	0	4
12780	0	4
12810	0	4
12840	0	4
12870	0	4
12900	0	4
12930	0	4
12960	0	4
12990	0	4
13020	0	4
13050	0	4
13080	0	4
13110	0	4
13140	0	4
13170	0	4
13200	0	5
13230	0	5
13260	0	5
13290	0	5
13320	0	5
13350	0	5
13380	0	5
13410	0	4
13440	0	1
13470	0	1
13500	0	3
13530	0	4
13560	0	4
13590	0	4
13620	0	4
13650	0	4
13680	0	4
13710	0	4
13740	0	4
13770	0	1
13800	0	3
13830	0	1
13860	0	1
13890	0	1
13920	0	1
13950	0	3
13980	0	4
14010	0	4
14040	0	4
14070	0	4
14100	0	4
14130	0	4
14160	0	4
14190	0	4
14220	0	4
14250	0	4
14280	0	3
14310	0	4
14340	0	4
14370	0	4
14400	0	4
14430	0	4
14460	0	4
14490	0	4
14520	0	4
14550	0	4
14580	0	4
14610	0	4
14640	0	4
14670	0	4
14700	0	4
14730	0	4
14760	0	4
14790	0	4
14820	0	3
14850	0	4
14880	0	4
14910	0	4
14940	0	4
14970	0	4
15000	0	4
15030	0	4
15060	0	1
15090	0	1
15120	0	1
15150	0	1
15180	0	1
15210	0	1
15240	0	1
15270	0	1
15300	0	1
15330	0	1
15360	0	1
15390	0	1
15420	0	1
15450	0	1
15480	0	1
15510	0	1
15540	0	1
15570	0	1
15600	0	1
15630	0	1
15660	0	1
15690	0	1
15720	0	1
15750	0	1
15780	0	1
15810	0	1
15840	0	1
15870	0	1
15900	0	1
15930	0	1
15960	0	1
15990	0	1
16020	0	1
16050	0	1
16080	0	1
16110	0	1
16140	0	1
16170	0	1
16200	0	1
16230	0	1
16260	0	1
16290	0	1
16320	0	1
16350	0	1
16380	0	1
16410	0	1
16440	0	1
16470	0	1
16500	0	1
16530	0	1
16560	0	1
16590	0	1
16620	0	1
16650	0	1
16680	0	1
16710	0	1
16740	0	1
16770	0	1
16800	0	1
16830	0	1
16860	0	1
16890	0	1
16920	0	1
16950	0	1
16980	0	1
17010	0	1
17040	0	1
17070	0	1
17100	0	1
17130	0	1
17160	0	1
17190	0	1
17220	0	1
17250	0	1
17280	0	1
17310	0	1
